system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,slope,.geo
2_10805,0.5600957870483398,0.3934794068336487,0.032477427273988724,0.6741306781768799,0.641653299331665,0.4268749952316284,0.09318000078201294,0.31264999508857727,0.32030001282691956,1.6089601516723633,-18.968433380126953,-15.760611534118652,-13.31770133972168,-9.795526504516602,323.51678466796875,2476.0,24.84720802307129,"{""type"":""Point"",""coordinates"":[29.439880885413807,-1.8308720015709055]}"
2_10806,0.4376278519630432,0.4865032434463501,0.052906524389982224,0.7446873784065247,0.6917808055877686,0.2799333333969116,0.050999999046325684,0.17589999735355377,0.18074999749660492,1.4669667482376099,-10.678024291992188,-20.491323471069336,-3.5171382427215576,-13.968498229980469,65.79288482666016,1553.0,19.56062889099121,"{""type"":""Point"",""coordinates"":[29.029742241665293,-2.5137895277863636]}"
2_10808,0.4062345623970032,0.6083582043647766,0.02161463163793087,0.8054842948913574,0.7838696837425232,0.22450000047683716,0.0272000003606081,0.11219999939203262,0.10954999923706055,1.540834665298462,-12.538204193115234,-14.502723693847656,-7.557164192199707,-9.412251472473145,141.93893432617188,2794.0,25.308216094970703,"{""type"":""Point"",""coordinates"":[29.46307659191009,-1.8198249596641307]}"
2_10810,0.47525203227996826,0.5681082606315613,-0.0051531014032661915,0.7487133145332336,0.7538663744926453,0.26649999618530273,0.03739999979734421,0.15639999508857727,0.15860000252723694,3.635385036468506,-15.289607048034668,-10.702134132385254,-8.607073783874512,-2.9438791275024414,210.00515747070312,1973.0,25.920583724975586,"{""type"":""Point"",""coordinates"":[29.12982544703443,-2.4939232891523297]}"
2_10811,0.3824443817138672,0.6019212007522583,0.013677653856575489,0.7261443138122559,0.7124666571617126,0.20845000445842743,0.03500000014901161,0.12349999696016312,0.10984999686479568,2.2232141494750977,-21.54991340637207,-12.565320014953613,-15.46360969543457,-5.6518707275390625,299.8757629394531,2034.0,36.77613830566406,"{""type"":""Point"",""coordinates"":[29.187423447393144,-2.476808862403738]}"
2_10817,0.6382938623428345,0.5949008464813232,-0.04887276142835617,0.7085408568382263,0.7574136257171631,0.39410001039505005,0.0544000007212162,0.24210000038146973,0.2087000012397766,-78.39434051513672,-17.200176239013672,-8.264451026916504,-9.382261276245117,0.1054215282201767,235.3212890625,1764.0,27.117647171020508,"{""type"":""Point"",""coordinates"":[29.424947012444083,-2.0063405178677858]}"
2_10819,0.42372041940689087,0.3320683240890503,0.018137462437152863,0.6291529536247253,0.6110154986381531,0.2808000147342682,0.06780000030994415,0.20055000483989716,0.20624999701976776,1.802707552909851,-14.846623420715332,-15.277880668640137,-7.54902982711792,-8.474963188171387,180.0,2508.0,10.096575736999512,"{""type"":""Point"",""coordinates"":[29.445645055789143,-1.605527661252909]}"
2_10820,0.5263157486915588,0.5246783494949341,-0.021350611001253128,0.7336305379867554,0.7549811601638794,0.32589998841285706,0.045499999076128006,0.19429999589920044,0.19329999387264252,1.818496584892273,-14.3370943069458,-14.15595531463623,-8.056174278259277,-7.784427642822266,180.0,1762.0,10.096575736999512,"{""type"":""Point"",""coordinates"":[28.93537595723632,-2.4996327980124478]}"
2_10822,0.5756048560142517,0.6000992059707642,-0.01535935141146183,0.7787991762161255,0.7941585183143616,0.32249999046325684,0.03700000047683716,0.1728000044822693,0.16990000009536743,1.8371977806091309,-13.132390975952148,-15.107826232910156,-6.593328952789307,-8.223299026489258,84.8110122680664,2456.0,10.14772891998291,"{""type"":""Point"",""coordinates"":[29.326626148479036,-2.6296034255730607]}"
2_10823,0.3406553268432617,0.19500985741615295,0.01171847339719534,0.4553990662097931,0.4436805844306946,0.27300000190734863,0.10520000010728836,0.23639999330043793,0.24269999563694,2.336034059524536,-13.104817390441895,-10.278541564941406,-6.224454402923584,-4.399996280670166,264.8100891113281,1849.0,10.14599323272705,"{""type"":""Point"",""coordinates"":[29.220560594751408,-2.4000117967763943]}"
