system:index,EVI_train,NBR_train,NDVI_change,NDVI_test,NDVI_train,NIR_train,RED_train,SWIR_test,SWIR_train,VH_VV_ratio,VH_test,VH_train,VV_test,VV_train,aspect,elevation,label,slope,.geo
2_4614_0,0.53402394,0.59423023,0.05103624,0.8211305,0.7700943,0.29565,0.0384,0.15545,0.15575,1.4182369,-17.11052,-18.688393,-10.8883505,-13.1772,70.57646,2523.0,0,16.281364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.27263659561135,-2.454152440450327]}"
2_4618_0,0.33798075,0.2691195,0.044237964,0.52992505,0.48568705,0.28078,0.0972,0.2477,0.25489667,1.6338874,-14.823973,-15.46786,-8.694915,-9.4669075,200.57726,1584.0,0,15.46438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.138158797578654,-2.7174486502257587]}"
2_4620_0,0.5717215,0.58957255,-0.028041298,0.7368421,0.7648834,0.32165,0.04285,0.2115,0.1793,4.602389,-10.140905,-9.0950775,-4.653062,-1.9761646,208.97485,1792.0,0,41.012867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.08533785887243,-2.5395822239700934]}"
2_4621_0,0.49060464,0.458548,0.029969817,0.74189943,0.7119296,0.3114,0.0524,0.23455,0.223,1.5018895,-15.329469,-15.853243,-10.26555,-10.555532,34.249187,1383.0,0,26.085924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.269672155173755,-2.8715995529806686]}"
2_4622_0,0.5250008,0.42216903,-0.049859125,0.56805724,0.61791635,0.39613333,0.09355,0.28643334,0.2856,2.0736701,-13.230939,-13.399064,-6.5046935,-6.461521,255.3974,1580.0,0,21.06917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.377739483853333,-2.9276544267097266]}"
2_4624_0,0.37180305,0.2690511,-0.055918563,0.4798115,0.53573006,0.28976667,0.0876,0.27185,0.2886,1.6097603,-18.10195,-17.027431,-11.852833,-10.57762,327.49652,1637.0,0,11.922237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.31333027798196,-2.8567773507926963]}"
2_4627_0,0.43780634,0.56279385,0.012168588,0.7545872,0.7424186,0.2327,0.0344,0.1314,0.1297,1.8910266,-13.411486,-14.023711,-7.786448,-7.4159245,201.05762,2560.0,0,12.707648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.319528653442386,-2.621239083296558]}"
2_4628_0,0.57319117,0.6489525,0.0065549365,0.84112,0.8345651,0.3227,0.0291,0.1553,0.1519,1.9046289,-13.5313225,-13.922872,-6.9621806,-7.310018,183.57959,2586.0,0,14.54795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30767089169201,-2.4495710325013174]}"
2_4629_0,0.5133711,0.5247237,-0.09821764,0.62022763,0.7184453,0.32165,0.0527,0.1854,0.18513334,2.4530737,-13.469378,-12.955903,-5.7274556,-5.281498,257.01672,1548.0,0,12.197243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.91097486222483,-2.4360963032395246]}"
2_4631_0,0.5161846,0.5805705,0.009146624,0.78917557,0.78002894,0.3075,0.038,0.1597,0.1748,1.5815176,-14.842205,-16.080732,-8.964533,-10.167912,54.809536,2468.0,0,18.627512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.362647787080125,-2.568687639175566]}"
